หลักสูตร,มหาวิทยาลัย,คณะ,ค่าใช้จ่าย (ต่อภาค),ค่าใช้จ่ายตามเว็บ
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,500 บาท ต่อภาคการศึกษา","ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,500 บาท ต่อภาคการศึกษา","ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์,คณะวิศวกรรมศาสตร์ กำแพงแสน,"ค่าใช้จ่าย: 19,500 บาท ต่อภาคการศึกษา","156,000"
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,คณะวิศวกรรมศาสตร์ ศรีราชา,"ค่าใช้จ่าย: 29,100 บาท ต่อภาคการศึกษา","232,800"
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยขอนแก่น,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 20000 บาท ต่อภาคการศึกษา,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม
วศ.บ.วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเชียงใหม่,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 23,000 บาท ต่อภาคการศึกษา","184,000"
วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,มหาวิทยาลัยเชียงใหม่,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 50,000 บาท ต่อภาคการศึกษา","400,000"
วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยธรรมศาสตร์,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 18,900 บาท ต่อภาคการศึกษา","18,900 บาท ต่อภาคการศึกษา"
วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),มหาวิทยาลัยธรรมศาสตร์,สถาบันเทคโนโลยีนานาชาติสิรินธร,"ค่าใช้จ่าย: 101,200 บาท ต่อภาคการศึกษา","101,200 บาท ต่อภาคการศึกษา"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยมหิดล,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 30,000 บาท ต่อภาคการศึกษา","30,000 บาท ต่อภาคการศึกษา"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,000 บาท ต่อภาคการศึกษา","200,000 บาท ตลอดหลักสูตร"
วศ.บ. วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 18,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา"
วศ.บ. วิศวกรรมปัญญาประดิษฐ์,มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 28,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา"
วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),มหาวิทยาลัยสงขลานครินทร์,วิทยาลัยการคอมพิวเตอร์,"ค่าใช้จ่าย: 48,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 48,000 บาทต่อภาคการศึกษา (เรียน 8 ภาคการศึกษา) หรือตลอดหลักสูตร 384,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท"
