หลักสูตร,มหาวิทยาลัย,คณะ,ค่าใช้จ่าย (ต่อภาค),ค่าใช้จ่ายตามเว็บ
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ),จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: ไม่พบข้อมูลต่อภาคการศึกษา,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/
วศ.บ. สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยเกษตรศาสตร์,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
วศ.บ. สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยเกษตรศาสตร์,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
วิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการเคมี) วิศวกรรมกระบวนการเคมี หลักสูตรนานาชาติ,มหาวิทยาลัยขอนแก่น,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 45000 บาท ต่อภาคการศึกษา,ค่าธรรมเนียมการศึกษา (ชาวไทย) 45000 บาท/เทอม
วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) วิศวกรรมเคมี,มหาวิทยาลัยขอนแก่น,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 20000 บาท ต่อภาคการศึกษา,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม
วศ.บ.สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยธรรมศาสตร์,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 18,900 บาท ต่อภาคการศึกษา","18,900 บาท ต่อภาคการศึกษา"
วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้า วิศวกรรมโยธา วิศวกรรมเครื่องกล วิศวกรรมเคมี วิศวกรรมอุตสาหการ และโลจิสติกส์อัจฉริยะ (หลักสูตรนานาชาติ) (SIIT),มหาวิทยาลัยธรรมศาสตร์,สถาบันเทคโนโลยีนานาชาติสิรินธร,"ค่าใช้จ่าย: 101,200 บาท ต่อภาคการศึกษา","101,200 บาท ต่อภาคการศึกษา"
วศ.บ.สาขาวิชาวิศวกรรมเคมี (หลักสูตรนานาชาติ) (SIIT),มหาวิทยาลัยธรรมศาสตร์,สถาบันเทคโนโลยีนานาชาติสิรินธร,"ค่าใช้จ่าย: 101,200 บาท ต่อภาคการศึกษา","101,200 บาท ต่อภาคการศึกษา"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยมหิดล,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 30,000 บาท ต่อภาคการศึกษา","30,000 บาท ต่อภาคการศึกษา"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ),มหาวิทยาลัยมหิดล,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 75,000 บาท ต่อภาคการศึกษา","75,000 บาท ต่อภาคการศึกษา"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,"ค่าใช้จ่าย: 19,000 บาท ต่อภาคการศึกษา","152,000"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,"ค่าใช้จ่าย: 35,000 บาท ต่อภาคการศึกษา","280,000"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,000 บาท ต่อภาคการศึกษา","200,000 บาท ตลอดหลักสูตร"
วศ.บ. วิศวกรรมเคมี,มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 18,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา"
